# artifact registry -- see docs/NOTES-coordination.md
# recipe	md5	bytes	kind	name	state	location	host	utc	commit	note
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-lade	f3badb10f0c7d67d78c0633e596cfbd9	1529417728	ctxbin	qwen3-0.6b-w8a16-gqafix-lade	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-lade/qwen3-0.6b-w8a16-gqafix-lade_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:34Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-ladekv	9c6024ad5b141137fbe22f3a4972eb96	1086570496	ctxbin	qwen3-0.6b-w8a16-gqafix-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-ladekv/qwen3-0.6b-w8a16-gqafix-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:36Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-pastkv2g	55f6d26e66307c270b019ee71b1bdb4b	1080377344	ctxbin	qwen3-0.6b-w8a16-gqafix-pastkv2g	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-pastkv2g/qwen3-0.6b-w8a16-gqafix-pastkv2g_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:38Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-qh	cd4bbf8741278ba28a03dd79d6723f8b	1525157888	ctxbin	qwen3-0.6b-w8a16-gqafix-qh	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-qh/qwen3-0.6b-w8a16-gqafix-qh_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:41Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-qh-ladekv	68f0e705f2b5a95e0bb78a46f8b9507a	1078185984	ctxbin	qwen3-0.6b-w8a16-gqafix-qh-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-qh-ladekv/qwen3-0.6b-w8a16-gqafix-qh-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:43Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-socmodel72-ladekv	a4b29dff9acf1bec563358b2ed82fe0a	1086820352	ctxbin	qwen3-0.6b-w8a16-gqafix-socmodel72-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-socmodel72-ladekv/qwen3-0.6b-w8a16-gqafix-socmodel72-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:45Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-udma	98d4e0df5015781a7433c8548a9dc59b	1523609600	ctxbin	qwen3-0.6b-w8a16-gqafix-udma	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-udma/qwen3-0.6b-w8a16-gqafix-udma_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:47Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-udma-ladekv	5795ffca451f9cf6e4d25e8e9018deba	1086783488	ctxbin	qwen3-0.6b-w8a16-gqafix-udma-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-udma-ladekv/qwen3-0.6b-w8a16-gqafix-udma-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:49Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16-gqafix-wpack-ladekv	1e0804ed0a3eadf66f73f8845437fdc8	1086570496	ctxbin	qwen3-0.6b-w8a16-gqafix-wpack-ladekv	present	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16-gqafix-wpack-ladekv/qwen3-0.6b-w8a16-gqafix-wpack-ladekv_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:54Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16qh			ctxbin	qwen3-0.6b-w8a16qh	stripped	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16qh	DESKTOP-V2N5VGG	2026-08-16T16:20:54Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3-0.6b-w8a16qh-lade			ctxbin	qwen3-0.6b-w8a16qh-lade	stripped	/home/vinc/llm-local/work/ctxbin/qwen3-0.6b-w8a16qh-lade	DESKTOP-V2N5VGG	2026-08-16T16:20:54Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3vl-4b-vit-fp16	48e8c2d0ae198057022fe50a90c0ee9d	849136688	ctxbin	qwen3vl-4b-vit-fp16	present	/home/vinc/llm-local/work/ctxbin/qwen3vl-4b-vit-fp16/qwen3vl-4b-vit-fp16_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:56Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3vl-4b-vit-w8a16	b6c04d353e4233d37b07fa8d5bc7f97a	433101160	ctxbin	qwen3vl-4b-vit-w8a16	present	/home/vinc/llm-local/work/ctxbin/qwen3vl-4b-vit-w8a16/qwen3vl-4b-vit-w8a16_ctx.bin	DESKTOP-V2N5VGG	2026-08-16T16:20:57Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3vl-4b-w8a16-splitkv-flat/qwen3vl-4b-w8a16_1_of_2	235e71afc013e7c010426511f1d171cf	1864830976	ctxbin	qwen3vl-4b-w8a16-splitkv-flat/qwen3vl-4b-w8a16_1_of_2	present	/home/vinc/llm-local/work/ctxbin/qwen3vl-4b-w8a16-splitkv-flat/qwen3vl-4b-w8a16_1_of_2.bin	DESKTOP-V2N5VGG	2026-08-16T16:21:07Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3vl-4b-w8a16-splitkv-flat/qwen3vl-4b-w8a16_2_of_2	fd55281824e83070e3159b95cafabc64	2645151744	ctxbin	qwen3vl-4b-w8a16-splitkv-flat/qwen3vl-4b-w8a16_2_of_2	present	/home/vinc/llm-local/work/ctxbin/qwen3vl-4b-w8a16-splitkv-flat/qwen3vl-4b-w8a16_2_of_2.bin	DESKTOP-V2N5VGG	2026-08-16T16:21:10Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3vl-4b-w8a16-splitkv/1_of_2	235e71afc013e7c010426511f1d171cf	1864830976	ctxbin	qwen3vl-4b-w8a16-splitkv/1_of_2	present	/home/vinc/llm-local/work/ctxbin/qwen3vl-4b-w8a16-splitkv/1_of_2/qwen3vl-4b-w8a16_1_of_2.bin	DESKTOP-V2N5VGG	2026-08-16T16:21:00Z	8ca8fb5	backfilled by scan
legacy:DESKTOP-V2N5VGG:qwen3vl-4b-w8a16-splitkv/2_of_2	fd55281824e83070e3159b95cafabc64	2645151744	ctxbin	qwen3vl-4b-w8a16-splitkv/2_of_2	present	/home/vinc/llm-local/work/ctxbin/qwen3vl-4b-w8a16-splitkv/2_of_2/qwen3vl-4b-w8a16_2_of_2.bin	DESKTOP-V2N5VGG	2026-08-16T16:21:05Z	8ca8fb5	backfilled by scan
